,Home,Score
226,Khyber Pakhtunkhwa,146.0
227,St Lucia Zouks,147.0
228,FATA Cheetas,140.0
229,Sialkot Stallions,169.0
230,Sri Lanka Ports Authority Cricket Club,117.0
231,St Kitts and Nevis Patriots,178.0
232,Jersey,107.0
233,Larkana Region,142.0
234,Bahawalpur Region,153.0
235,Lahore Region Blues,126.0
236,Azad Jammu & Kashmir Region,123.0
237,Karachi Region Blues,185.0
238,Hyderabad Region,175.0
239,Lahore Region Whites,169.0
240,Sialkot Region,163.0
241,Abbottabad Region,183.0
242,Multan Region,148.0
243,Peshawar Region,170.0
244,Northern Cape,153.0
245,Rangpur Riders,138.0
246,Dhaka Dynamites,139.0
247,Comilla Victorians,139.0
248,Barisal Bulls,158.0
249,Sylhet Super Stars,112.0
250,England Lions,142.0
251,Saurashtra,144.0
252,Colombo Commandos,155.0
253,Hambantota Troopers,132.0
254,Galle Guardians,145.0
255,Kurunegala Warriors,141.0
256,Kandy Crusaders,156.0
257,Karachi Kings,154.0
258,Peshawar Zalmi,145.0
259,Quetta Gladiators,146.0
260,Islamabad United,150.0
261,Lahore Qalandars,179.0
262,North Island,127.0
263,Gujarat Lions,161.0
264,Rising Pune Supergiants,173.0
265,Trinbago Knight Riders,170.0
266,Karachi Blues,170.0
267,Federally Administered Tribal Areas,140.0
268,Lahore Blues,136.0
269,Karachi Whites,161.0
270,Lahore Whites,163.0
271,Peshawar,140.0
272,Islamabad,151.0
273,Khulna Titans,133.0
274,Chittagong Vikings,162.0
