Name,Address,City,CountryCode,Weekdays,Start_Hours,Start_Minutes,End_Hour,End_Minutes,Rating
163 Vietnamese Sandwiches & Bubble Tea,66 Harrison Ave,Boston,US,4,17,00,23,00,3.5
163 Vietnamese Sandwiches & Bubble Tea,66 Harrison Ave,Boston,US,5,11,00,14,30,3.5
163 Vietnamese Sandwiches & Bubble Tea,66 Harrison Ave,Boston,US,5,17,00,23,00,3.5
163 Vietnamese Sandwiches & Bubble Tea,66 Harrison Ave,Boston,US,6,11,00,14,30,3.5
163 Vietnamese Sandwiches & Bubble Tea,66 Harrison Ave,Boston,US,6,17,00,22,00,3.5
1760,1760 Polk St,San Francisco,US,0,17,00,01,00,4.0
1760,1760 Polk St,San Francisco,US,1,17,00,01,00,4.0
1760,1760 Polk St,San Francisco,US,2,17,00,01,00,4.0
1760,1760 Polk St,San Francisco,US,3,17,00,01,00,4.0
1760,1760 Polk St,San Francisco,US,4,16,00,01,00,4.0
1760,1760 Polk St,San Francisco,US,5,17,00,03,00,4.0
1760,1760 Polk St,San Francisco,US,6,18,00,01,00,4.0
1806,169 Exhibition St,Melbourne,AU,1,11,00,15,00,4.0
1806,169 Exhibition St,Melbourne,AU,1,18,00,00,00,4.0
1806,169 Exhibition St,Melbourne,AU,2,11,00,15,00,4.0
1806,169 Exhibition St,Melbourne,AU,2,18,00,00,00,4.0
1806,169 Exhibition St,Melbourne,AU,3,11,00,15,00,4.0
1806,169 Exhibition St,Melbourne,AU,3,18,00,00,00,4.0
1806,169 Exhibition St,Melbourne,AU,4,11,00,15,00,4.0
1806,169 Exhibition St,Melbourne,AU,4,18,00,00,00,4.0
1806,169 Exhibition St,Melbourne,AU,5,11,00,15,00,4.0
1806,169 Exhibition St,Melbourne,AU,5,18,00,00,00,4.0
1907 Restaurant,26 Queen St,Perth,AU,0,16,00,00,00,4.0
1907 Restaurant,26 Queen St,Perth,AU,1,16,00,00,00,4.0
1907 Restaurant,26 Queen St,Perth,AU,2,16,00,00,00,4.0
1907 Restaurant,26 Queen St,Perth,AU,3,16,00,00,00,4.0
1907 Restaurant,26 Queen St,Perth,AU,4,16,00,00,00,4.0
1907 Restaurant,26 Queen St,Perth,AU,5,16,00,00,00,4.0
1912 Dining Bar,27-33 Goulburn St,Sydney,AU,0,10,00,23,00,4.0
1912 Dining Bar,27-33 Goulburn St,Sydney,AU,1,10,00,23,00,4.0
1912 Dining Bar,27-33 Goulburn St,Sydney,AU,2,10,00,23,00,4.0
1912 Dining Bar,27-33 Goulburn St,Sydney,AU,3,10,00,23,00,4.0
1912 Dining Bar,27-33 Goulburn St,Sydney,AU,4,10,00,23,00,4.0
1912 Dining Bar,27-33 Goulburn St,Sydney,AU,5,10,00,23,00,4.0
1912 Dining Bar,27-33 Goulburn St,Sydney,AU,6,10,00,20,00,4.0
1917 American Bistro,19416 Livernois Ave,Detroit,US,0,17,00,22,00,3.0
1917 American Bistro,19416 Livernois Ave,Detroit,US,1,11,00,22,00,3.0
1917 American Bistro,19416 Livernois Ave,Detroit,US,2,11,00,22,00,3.0
1917 American Bistro,19416 Livernois Ave,Detroit,US,3,11,00,22,00,3.0
1917 American Bistro,19416 Livernois Ave,Detroit,US,4,11,00,23,00,3.0
1917 American Bistro,19416 Livernois Ave,Detroit,US,5,11,00,23,00,3.0
1917 American Bistro,19416 Livernois Ave,Detroit,US,6,12,00,22,00,3.0
2 Amys Neapolitan Pizzeria,3715 Macomb St NW,Washington,US,Not Updated,Not Updated,Not Updated,Not Updated,Not Updated,4.0
2 Yummy,"Shop 3, 114 Boardwalk Emu Bank",Belconnen,AU,0,17,00,01,00,5.0
2 Yummy,"Shop 3, 114 Boardwalk Emu Bank",Belconnen,AU,1,17,00,01,00,5.0
2 Yummy,"Shop 3, 114 Boardwalk Emu Bank",Belconnen,AU,2,17,00,01,00,5.0
2 Yummy,"Shop 3, 114 Boardwalk Emu Bank",Belconnen,AU,3,17,00,01,00,5.0
2 Yummy,"Shop 3, 114 Boardwalk Emu Bank",Belconnen,AU,4,17,00,01,00,5.0
2 Yummy,"Shop 3, 114 Boardwalk Emu Bank",Belconnen,AU,5,17,00,01,00,5.0
20 Spot,3565 20th St,San Francisco,US,0,11,00,00,00,4.5
20 Spot,3565 20th St,San Francisco,US,1,11,00,00,00,4.5
20 Spot,3565 20th St,San Francisco,US,2,11,00,02,00,4.5
20 Spot,3565 20th St,San Francisco,US,3,11,00,02,00,4.5
20 Spot,3565 20th St,San Francisco,US,4,11,00,02,00,4.5
20 Spot,3565 20th St,San Francisco,US,5,11,00,02,00,4.5
20 Spot,3565 20th St,San Francisco,US,6,11,00,00,00,4.5
204 North Kitchen & Cocktails,204 N Tryon,Charlotte,US,1,06,30,14,30,3.5
204 North Kitchen & Cocktails,204 N Tryon,Charlotte,US,2,06,30,14,30,3.5
204 North Kitchen & Cocktails,204 N Tryon,Charlotte,US,3,06,30,14,30,3.5
204 North Kitchen & Cocktails,204 N Tryon,Charlotte,US,4,06,30,14,30,3.5
204 North Kitchen & Cocktails,204 N Tryon,Charlotte,US,5,07,00,13,30,3.5
204 North Kitchen & Cocktails,204 N Tryon,Charlotte,US,6,07,00,13,30,3.5
20th Street Café,1123 20th St,Denver,US,0,11,00,21,30,4.0
20th Street Café,1123 20th St,Denver,US,1,11,00,21,30,4.0
20th Street Café,1123 20th St,Denver,US,2,11,00,21,30,4.0
20th Street Café,1123 20th St,Denver,US,3,11,00,21,30,4.0
20th Street Café,1123 20th St,Denver,US,4,11,00,22,00,4.0
20th Street Café,1123 20th St,Denver,US,5,11,00,22,00,4.0
20th Street Café,1123 20th St,Denver,US,6,11,00,21,30,4.0
21 Shanghai House,21 Division St,New York,US,0,11,00,00,00,4.0
21 Shanghai House,21 Division St,New York,US,1,11,00,00,00,4.0
21 Shanghai House,21 Division St,New York,US,2,11,00,00,00,4.0
21 Shanghai House,21 Division St,New York,US,3,11,00,00,00,4.0
21 Shanghai House,21 Division St,New York,US,4,11,00,02,00,4.0
21 Shanghai House,21 Division St,New York,US,5,11,00,02,00,4.0
21 Shanghai House,21 Division St,New York,US,6,11,00,22,00,4.0
24grille,204 Michigan Ave,Detroit,US,0,10,00,15,00,3.0
24grille,204 Michigan Ave,Detroit,US,2,10,00,15,00,3.0
24grille,204 Michigan Ave,Detroit,US,3,10,00,15,00,3.0
24grille,204 Michigan Ave,Detroit,US,4,10,00,15,00,3.0
24grille,204 Michigan Ave,Detroit,US,5,09,00,15,00,3.0
24grille,204 Michigan Ave,Detroit,US,6,09,00,15,00,3.0
259 Cafe,259 Berwick St,Perth,AU,0,08,00,18,00,4.0
