Publish_Dates,Mains,Sources,Document_Types,Web_Urls,New_Desks,Section_Names,Snippets
2017-02-07,"Biden Gets a Job, and Obama Goes Kitesurfing",The New York Times,article,http://www.nytimes.com/2017/02/07/us/politics/obama-kitesurfing-biden-penn.html,National,U.S.,The former president and vice president seem to be doing just fine in life after the White House....
2017-02-07,Our Articles on the Attacks Trump Says the Media Didn’t Cover,The New York Times,article,http://www.nytimes.com/2017/02/07/us/politics/the-white-house-list-of-terror-attacks-underreported-by-media.html,Foreign,U.S.,"Here is the Trump administration’s list of what it calls underreported terrorist attacks. The Times covered most of the attacks cited, many with multiple articles...."
2017-02-07,Human Rights in Myanmar,The New York Times,article,http://www.nytimes.com/2017/02/07/opinion/human-rights-in-myanmar.html,Letters,Opinion,"A human rights advocate writes, “My country is still waiting for peace.”..."
2017-02-07,"Met Museum Makes 375,000 Images Free",The New York Times,article,http://www.nytimes.com/2017/02/07/arts/design/met-museum-makes-375000-images-available-for-free.html,Culture,Arts,The museum’s open access policy now allows unrestricted use of any images of its digitized artworks in the public domain....
2017-02-07,A U.S. Muslim’s Fears,The New York Times,article,http://www.nytimes.com/2017/02/07/opinion/a-us-muslims-fears.html,Letters,Opinion,A reader writes that Americans must resist generalizations....
2017-02-07,Stephen Colbert’s ‘Late Show’ Tops ‘Tonight Show’ in Total Viewers,The New York Times,article,http://www.nytimes.com/2017/02/07/business/stephen-colbert-late-show-jimmy-fallon-tonight-show-ratings.html,Business,Business Day,"For the week of Jan. 30, Mr. Colbert averaged roughly 2.8 million viewers, eclipsing Jimmy Fallon’s audience by a slim margin of 12,000 viewers...."
2017-02-07,Florida Woman Whose ‘Stand Your Ground’ Defense Was Rejected Is Released,The New York Times,article,http://www.nytimes.com/2017/02/07/us/marissa-alexander-released-stand-your-ground.html,National,U.S.,"Marissa Alexander, 36, had been convicted of aggravated assault in a 2010 shooting involving her former husband. She has been released from prison and house confinement and has turned to advocacy...."
2017-02-07,"In Libel Suit, Melania Trump Cites Loss of Chance to Make Millions",The New York Times,article,http://www.nytimes.com/2017/02/07/us/politics/melania-trump-libel-suit-daily-mail.html,National,U.S.,The lawsuit says a Daily Mail article on claims that a modeling agency Mrs. Trump once worked for was also an escort service had deprived her of a “once-in-a-lifetime opportunity.”...
2017-02-07,"Chrissie Hynde, a Rocker Against Fur",The New York Times,article,http://www.nytimes.com/2017/02/07/opinion/chrissie-hynde-a-rocker-against-fur.html,Letters,Opinion,"The musician Chrissie Hynde, an honorary director of PETA, takes issue with the wearing of leather and fur...."
2017-02-07,Sting and Wayne Shorter Win Polar Music Prize,The New York Times,article,http://www.nytimes.com/2017/02/07/arts/music/sting-and-wayne-shorter-win-polar-music-prize.html,Culture,Arts,"The two musicians will receive about $113,000 each...."
