Publish_Dates,Mains,New_Desks,Section_Names
2017-01-30T17:58:26+0000,Trump’s Trade War May Have Already Begun,Business,Business Day
2017-01-30T14:51:04+0000,The Alt-Majority: How Social Networks Empowered Mass Protests Against Trump,Business,Technology
2017-01-28T17:57:13+0000,Trump’s Immigration Ban Draws Deep Anger and Muted Praise,National,U.S.
2017-01-29T15:32:40+0000,Travelers Stranded and Protests Swell Over Trump Order,National,U.S.
2017-01-29T01:08:48+0000,Trump’s Immigration Order Could Have a Big Impact on Sports,Sports,Sports
2017-01-28T17:57:13+0000,Trump’s Immigration Ban Draws Deep Anger and Muted Praise,National,U.S.
2017-01-29T15:32:40+0000,Travelers Stranded and Protests Swell Over Trump Order,National,U.S.
2017-01-27T13:32:02+0000,Trump’s Economic Vows May Be Harder to Hit After a Slow 2016,Business,Business Day
2017-01-30T17:58:26+0000,Trump’s Trade War May Have Already Begun,Business,Business Day
2017-01-26T20:44:33+0000,Tax Plan Sows Confusion as Tensions With Mexico Soar,National,U.S.
2017-01-26T20:44:33+0000,Tax Plan Sows Confusion as Tensions With Mexico Soar,National,U.S.
2017-01-25T19:52:33+0000,Trump Orders Mexican Border Wall to Be Built and Plans to Block Syrian Refugees,National,U.S.
1985-12-16T00:00:00Z,CHRISTMAS SPARKLE:,Metropolitan Desk,Front Page
2017-01-29T01:08:48+0000,Trump’s Immigration Order Could Have a Big Impact on Sports,Sports,Sports
2017-01-25T21:00:45+0000,"The Dow Hit 20,000. Now What?",Business,Business Day
2017-01-28T17:57:13+0000,Trump’s Immigration Ban Draws Deep Anger and Muted Praise,National,U.S.
1985-12-16T00:00:00Z,CHRISTMAS SPARKLE:,Metropolitan Desk,Front Page
2017-01-25T21:00:45+0000,"The Dow Hit 20,000. Now What?",Business,Business Day
2017-01-25T19:52:33+0000,Trump Orders Mexican Border Wall to Be Built and Plans to Block Syrian Refugees,National,U.S.
2017-01-25T02:23:19+0000,Trump to Order Mexican Border Wall and Curtail Immigration,National,U.S.
2017-01-24T18:30:38+0000,"For Trump, Everything Is a Rating",Culture,Arts
2017-01-25T16:03:29+0000,"After His Claim of Voter Fraud, Trump Vows ‘Major Investigation’",National,U.S.
2017-01-27T15:43:30+0000,Dubious Vote-Fraud Claim Gets the Trump Seal of Approval,National,U.S.
2017-01-25T18:53:01+0000,Trump’s Impulses Now Carry the Force of the Presidency,National,U.S.
2017-01-24T22:31:24+0000,Mexico’s Potential Weapons if Trump Declares War on Nafta,Business,Business Day
2017-01-24T18:30:38+0000,"For Trump, Everything Is a Rating",Culture,Arts
2017-01-24T01:46:57+0000,Trump Repeats Lie About Popular Vote in Meeting With Lawmakers,National,U.S.
2016-12-08T01:16:54+0000,Donald Trump Is Said to Intend to Keep a Stake in His Business,National,U.S.
2017-01-23T16:57:40+0000,"Trump Abandons Trans-Pacific Partnership, Obama’s Signature Trade Deal",National,U.S.
2017-01-25T02:23:19+0000,Trump to Order Mexican Border Wall and Curtail Immigration,National,U.S.
2017-01-22T22:38:50+0000,"Now That Trump Is President, How Will TV Respond?",Culture,Arts
2017-01-24T16:31:14+0000,Trump Revives Keystone Pipeline Rejected by Obama,National,U.S.
2016-12-09T16:20:27+0000,Donald Trump Loves New York. But It Doesn’t Love Him Back.,Metropolitan,N.Y. / Region
2017-01-23T20:29:38+0000,Review: ‘Frontline’ Recaps Trump Campaign With His Greatest Hits,Culture,Arts
2017-01-22T22:38:50+0000,"Now That Trump Is President, How Will TV Respond?",Culture,Arts
2016-12-09T16:20:27+0000,Donald Trump Loves New York. But It Doesn’t Love Him Back.,Metropolitan,N.Y. / Region
2017-01-21T15:35:36+0000,The President Who Buried Humility,OpEd,Opinion
2017-01-24T02:10:17+0000,"Call to Create Jobs, or Else, Tests Trump’s Sway",Business,Business Day
2016-12-09T16:20:27+0000,Donald Trump Loves New York. But It Doesn’t Love Him Back.,Metropolitan,N.Y. / Region
2017-01-24T22:31:24+0000,Mexico’s Potential Weapons if Trump Declares War on Nafta,Business,Business Day
2017-01-23T16:57:40+0000,"Trump Abandons Trans-Pacific Partnership, Obama’s Signature Trade Deal",National,U.S.
2017-01-21T15:35:36+0000,The President Who Buried Humility,OpEd,Opinion
