Publish_Dates,Mains,Sources,Document_Types,Web_Urls,New_Desks,Section_Names,Snippets
2016-01-01,"The Definitive Guide to Cord-Cutting in 2016, Based on Your Habits",The New York Times,multimedia,http://www.nytimes.com/interactive/2016/technology/personaltech/cord-cutting-guide.html,Technology / Personal Tech,Technology,"We teamed up with The Wirecutter to come up with cord-cutter bundles for movie buffs, sports addicts, fans of premium TV shows, binge watchers and families with children."
2016-01-01,Donald Trump’s Taxes: What We Know and Don’t Know,The New York Times,multimedia,http://www.nytimes.com/interactive/2016/us/politics/donald-trump-taxes-explained.html,U.S. / Politics,U.S.,"In the absence of any disclosures from Mr. Trump, The New York Times and other news outlets have attempted to fill in the gaps."
2016-01-01,How to Protect Yourself After the Yahoo Attack,The New York Times,multimedia,http://www.nytimes.com/interactive/2016/technology/personaltech/what-to-do-if-hacked.html,Technology / Personal Tech,Technology,Simple tips to follow if you think your personal information online has been exposed to hackers.
2016-01-01,Explaining Greece’s Debt Crisis,The New York Times,multimedia,http://www.nytimes.com/interactive/2016/business/international/greece-debt-crisis-euro.html,Business Day / International Business,Business Day,"European authorities have agreed to disburse $8.4 billion in fresh funds to Greece, allowing the country to keep paying its bills in the coming months."
2016-01-01,How Puerto Rico Debt Is Grappling With a Debt Crisis,The New York Times,multimedia,http://www.nytimes.com/interactive/2016/business/dealbook/puerto-rico-debt-crisis-explained.html,Business Day / DealBook,Business Day,"The new debt relief law is stirring colonial resentment, as Puerto Rican officials denounced the “junta” — or federal control board — that will soon direct this island’s failing governance and finances."
2016-01-01,The Week on Instagram,The New York Times,multimedia,http://www.nytimes.com/slideshow/2016/01/01/nytnow/the-week-on-instagram.html,NYT Now,NYT Now,"Photos posted on @nytimes during the last week of 2015 took followers from an island in Antarctica to Times Square, before the ball dropped."
2016-01-01,Mass Master,The New York Times,blogpost,http://wordplay.blogs.nytimes.com/2016/01/01/mass-master/,Business,Crosswords & Games,David Phillips provides our first Saturday challenge of 2016.
2016-01-01,Friday Night Music: More Wild Reeds,The New York Times,blogpost,http://krugman.blogs.nytimes.com/2016/01/01/friday-night-music-more-wild-reeds/,OpEd,Opinion,Harmony to soothe the soul.
2016-01-01,Our Favorite Styles Photos of 2015,The New York Times,article,http://www.nytimes.com/2016/01/01/fashion/our-favorite-styles-photos-of-2015.html,Styles,Fashion & Style,A look at some of the year’s most striking Styles section images.
2016-01-01,Wishes for the New Year,The New York Times,multimedia,http://www.nytimes.com/video/nyregion/100000004121774/wishes-for-the-new-year.html,N.Y. / Region,N.Y. / Region,"From Times Square to the web, we asked people to tell us their wishes for 2016."
2016-01-01,What We&#8217;re Reading,The New York Times,blogpost,http://news.blogs.nytimes.com/2016/01/01/what-were-reading-117/,None,Blogs,"Get recommendations from New York Times reporters and editors, highlighting great stories from around the web. Today, great reads from Carolyn Ryan, Jennifer Steinhauer and others."
2016-01-01,Taking Flight,The New York Times,multimedia,http://www.nytimes.com/interactive/2016/01/01/sports/football/new-york-jets-nfl-playoffs.html,Sports / Pro Football,Sports,"If the Jets win at Buffalo on Sunday, they will clinch an A.F.C. wild-card berth. Ben Shpigel breaks down the key moments that have led the Jets to the brink of the playoffs."
2016-01-01,Hillary Clinton Raised $37 Million in Last 3 Months,The New York Times,blogpost,http://www.nytimes.com/politics/first-draft/2016/01/01/hillary-clinton-raised-37-million-in-last-3-months/,Politics,U.S.,"Hillary Clinton’s presidential campaign raised $37 million in the three-month period that ended Dec. 31, bringing her total war chest for use in the Democratic presidential contest to more than $112 million."
2016-01-01,Happy New Year!,The New York Times,article,http://www.nytimes.com/2016/01/01/dining/happy-new-year.html,Dining,Food,"Peas and mustard greens, pizza dough, Alfred Lord Tennyson and more recipes for the New Year."
2016-01-01,1941: Air Line Keeps Rome-Rio Link,The New York Times,blogpost,http://iht-retrospective.blogs.nytimes.com/2016/01/01/1941-air-line-keeps-rome-rio-link/,Foreign,World,From the International Herald Tribune archives: An Italian-owned airline keeps flying to South America in 1941.
2016-01-01,A Vital Look at Ignored Realities in Midwest Flood Zone,The New York Times,blogpost,http://dotearth.blogs.nytimes.com/2016/01/01/a-vital-look-at-ignored-realities-in-midwest-flood-zone/,OpEd,Opinion,"Same as it ever was, Missouri flooding shows how communities continue to ignore hydrological realities."
2016-01-01,What&#8217;s on This Week Around the World,The New York Times,blogpost,http://artsbeat.blogs.nytimes.com/2016/01/01/whats-on-this-week-around-the-world-57/,Culture,Arts,"A Renaissance painter has a solo show in Florence; a calligraphy artist’s work goes on display in Kanazawa, Japan; and an interdisciplinary festival runs in Sydney, Australia."
2016-01-01,Why I Recorded a One-Second Video (Almost) Every Day in 2015,The New York Times,article,http://www.nytimes.com/2016/01/01/fashion/why-i-recorded-a-one-second-video-almost-every-day-in-2015.html,Styles,Fashion & Style,A rapid-fire look back through 365 moments of your day-to-day life is a powerful experience.
2016-01-01,"A Year, One Second at a Time",The New York Times,multimedia,http://www.nytimes.com/video/multimedia/100000004120770/a-year-seen-one-second-at-a-time.html,Multimedia/Photos,Multimedia/Photos,The Times reporter Daniel Victor aimed to record a one-second video every day in 2015 and patched them together using an app.
2016-01-01,1916: Hundreds Sink With the Persia,The New York Times,blogpost,http://iht-retrospective.blogs.nytimes.com/2016/01/01/1916-hundreds-sink-with-the-persia/,Foreign,World,From the International Herald Tribune archives: A steamship for Bombay is torpedoed in 1916.
2016-01-01,Coexistence on the D Train,The New York Times,article,http://www.nytimes.com/2016/01/01/nyregion/metropolitan-diary-coexistence-on-the-d-train.html,Metro,N.Y. / Region,"A short poem about hearing both French and Arabic in the same subway car, shortly after the Paris attacks."
2016-01-01,Eight New Products to Reset Your Mind (and Body) This Year,The New York Times,article,http://www.nytimes.com/2016/01/01/t-magazine/eight-beauty-health-products-new-year.html,TStyle,T Magazine,Wellness items to cleanse the system — and make room for good vibes and health in 2016.
2016-01-01,Answering the Most Frequent Questions About the Book Review,The New York Times,article,http://www.nytimes.com/2016/01/01/insider/answering-the-most-frequent-questions-about-the-book-review.html,Insider,Times Insider,"Pamela Paul, the editor of The New York Times Book Review, provides some insight on the topics that most often pique readers’ interest."
2016-01-01,"The Weekly Health Quiz: Sound Sleep, Coconut Oil and Posture Woes",The New York Times,blogpost,http://well.blogs.nytimes.com/2016/01/01/the-weekly-health-quiz-sound-sleep-coconut-oil-and-posture-woes/,Science,Health,Test your knowledge of this week’s health news.
2016-01-01,X-Rated at the Library,The New York Times,multimedia,http://www.nytimes.com/video/nyregion/100000004108501/x-rated-at-the-library.html,N.Y. / Region,N.Y. / Region,"The New York Public Library’s erotica collection (yes, it has one) includes seedy Times Square ephemera, early transgender magazines and copies of Playboy."
2016-01-01,Global Trade After the Failure of the Doha Round,The New York Times,article,http://www.nytimes.com/2016/01/01/opinion/global-trade-after-the-failure-of-the-doha-round.html,Editorial,Opinion,"With the Doha talks dead, world leaders need to start thinking differently about the global trading system."
2016-01-01,Nassau County’s Bad Bet on Gambling,The New York Times,article,http://www.nytimes.com/2016/01/01/opinion/nassau-countys-bad-bet-on-gambling.html,Editorial,Opinion,"If gambling is such an economic boon, why do Long Islanders want it far away from where they live, work or shop?"
2016-01-01,2016. The Shape of Things to Come,The New York Times,multimedia,http://www.nytimes.com/interactive/2016/01/01/opinion/Kalman-Meyerowitz-Op-Art.html,Opinion,Opinion,We've looked into it. It could be worse.
2016-01-01,Two Ways of Dealing With Guns,The New York Times,article,http://www.nytimes.com/2016/01/01/opinion/two-ways-of-dealing-with-guns.html,Editorial,Opinion,"As states enact new laws, the line between gun rights and civilian safety is only getting more confusing."
2016-01-01,"Privilege, Pathology and Power",The New York Times,article,http://www.nytimes.com/2016/01/01/opinion/privilege-pathology-and-power.html,OpEd,Opinion,The superrich live in their own reality. That’s a problem when the monstrously self-centered influence elections and policy.
2016-01-01,Haitian Migrants’ Plight,The New York Times,article,http://www.nytimes.com/2016/01/01/opinion/haitian-migrants-plight.html,Letters,Opinion,A Haitian activist calls for aid to help desperate people in the camps.
2016-01-01,The Meaning of the Incarnation,The New York Times,article,http://www.nytimes.com/2016/01/01/opinion/the-meaning-of-the-incarnation.html,Letters,Opinion,Readers discuss an Op-Ed essay about “how revolutionary Jesus’ birth was.”
2016-01-01,Girls in Japan’s War Brothels,The New York Times,article,http://www.nytimes.com/2016/01/01/opinion/girls-in-japans-war-brothels.html,Letters,Opinion,A women’s studies professor notes that some of those coerced to serve as prostitutes for Japanese soldiers in World War II were not yet adults.
2016-01-01,A Better Standard for the Use of Deadly Force,The New York Times,article,http://www.nytimes.com/2016/01/01/opinion/a-better-standard-for-the-use-of-deadly-force.html,OpEd,Opinion,"Police shootings should be necessary, not just “reasonable.”"
2016-01-01,"After Many Accusations, Sex Assault Charge Against Bill Cosby",The New York Times,article,http://www.nytimes.com/2016/01/01/opinion/after-many-accusations-sex-assault-charge-against-bill-cosby.html,Letters,Opinion,Readers react to a charge that the TV star drugged and sexually abused a Pennsylvania woman.
2016-01-01,Quotation of the Day,The New York Times,article,http://www.nytimes.com/2016/01/01/todayspaper/quotation-of-the-day.html,Summary,Today’s Paper,"Quotation of the Day for Friday, January 1, 2016."
2016-01-01,"Corrections: January 1, 2016",The New York Times,article,http://www.nytimes.com/2016/01/01/pageoneplus/corrections-january-1-2016.html,Summary,Corrections,"Corrections appearing in print on Friday, January 1, 2016."
2016-01-01,Villarreal Controls Champions Spot,The New York Times,article,http://www.nytimes.com/2016/01/01/sports/soccer/villarreal-controls-champions-spot.html,Sports,Sports,Villarreal midfielder Bruno Soriano scored with a free kick to earn a 1-0 win over visiting Valencia in the Spanish league.
2016-01-01,U.S. Tops Denmark at World Juniors,The New York Times,article,http://www.nytimes.com/2016/01/01/sports/hockey/us-tops-denmark-at-world-juniors.html,Sports,Sports,"Auston Matthews, who is expected to be the No. 1 pick in the N.H.L. draft, had a goal and an assist to lead the United States to a 4-1 victory over Denmark in the world junior hockey championship in Helsinki, Finland."
2016-01-01,Dodgers Sign a Top Japanese Pitcher,The New York Times,article,http://www.nytimes.com/2016/01/01/sports/baseball/dodgers-sign-a-top-japanese-pitcher.html,Sports,Sports,"The Los Angeles Dodgers agreed to terms with the Japanese right-hander Kenta Maeda, according to multiple reports."
2016-01-01,What to Watch Friday,The New York Times,article,http://www.nytimes.com/2016/01/01/arts/television/what-to-watch-friday.html,Weekend,Arts,The lineup includes classics like “Them!” and proceeds with such light fare as “The Hangover” and “Blades of Glory.”
2016-01-01,"Paid Notice: Memorials  DEIN, GITTIE PFEFFER",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=990CE5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"DEIN--Gittie Pfeffer. Dear sis, loved and remembered every day. Carol 1/3"
2016-01-01,"Paid Notice: Deaths  FLOOD, CHARLES ANDREW",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9D03E6DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"FLOOD--Charles Andrew, 77, died at his home in New York City on December 23 with his adored wife Kristin by his side. Born in New York City, Charlie was a graduate of Riverdale Country Day School and Amherst College. He spent his early investment career at M.A. Shapiro, New Court Securities, and E.M. Warburg Pincus. For the past 32 years, Charlie and Kristin were business partners of Flood Gamble Associates, an investment management firm. Recently, Flood Gamble joined American Capital Management. Charlie was a dedicated and scrupulously honest businessperson who brought his deep intelligence to his tireless work for his clients. He enjoyed getting to know people of all backgrounds and loved nothing more than the everyday banter he had with friends, clients, neighbors, and everyone he encountered. He had a unique sense of humor and enjoyed gently ribbing people. His weekends were spent gardening and doing chores-Charlie's way of relaxing-in their second home and beloved community of Hudson, New York. Charlie loved the Hudson Valley and, with Kristin, was dedicated to the protection of the Hudson River and its environs. A lifelong Democrat and avid Obama supporter, Charlie enjoyed talking politics and railing against what he felt were the wrongs in society. He also contributed to many social causes. Charlie learned guitar as an adult and his playing and singing were an integral part of his time spent with family. A much-loved spouse, father, and grandfather, Charlie will be greatly missed by his wife of 40 years, Kristin Gamble, his daughters Deborah Flood and Karen Flood, his son-in-law Michael Benedek, and his grandchildren Naomi, Oscar and Violet. A celebration of Charlie will be held at 4:30pm on January 7 at the Metropolitan Club at 1 East 60th Street in New York City. In lieu of flowers, please send donations to Scenic Hudson at http://www.scenic hudson.org/donate, or Scenic Hudson, Attn: Veronica Renzo, One Civic Center Plaza, Suite 200, Poughkeepsie, NY 12601. 1/3"
2016-01-01,"Paid Notice: Deaths  METZGER, PHOEBE",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9407E5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"METZGER--Phoebe, 95, of Boca Raton, FL; died peacefully and naturally at home on December 29. She was the devoted wife for 64 years of Bernard (deceased). Mother of Robert and Steven, sister of Enid Lee, and brother Marvin Goldstein (deceased). She loved life with a large social circle, enjoying tennis, friendly gaming and philanthropy; she was a strong supporter of organizations for Jewish causes and the developmentally disabled. Services will be 1pm, Sunday, January 3 at Lakeside Memorial Park, Doral, FL; Shiva at the family home after 6pm. Honor her memory at JARCFL.ORG. 1/3"
2016-01-01,"Paid Notice: Deaths  RICE, MARGARET C.",The New York Times,article,http://query.nytimes.com/gst/fullpage.html?res=9E03E5DD1E3AF932A35752C0A9609D8B63,Classified,Paid Death Notices,"RICE--Margaret C.,on Friday, December 25, 2015. Beloved mother of the late Douglas B. Rice. Devoted mother-in-law of Denise V. Jones Rice and grandmother of Demetrius C. and David W. Rice. Services at Stewart Funeral Home, 4001 Benning Road NE, Washington, DC on Saturday, January 2, 2016 from 1pm until service at 2pm. Online condolences may be made at: www. stewartfuneralhome.com. 1/3"
